Date,Open,High,Low,Close,Adj Close,Volume
2022-11-07,60795.937500,61812.023438,60203.218750,60795.937500,60795.937500,2078560
2022-11-08,60965.285156,63505.503906,60626.585938,61473.328125,61473.328125,2667760
2022-11-09,62235.394531,62828.113281,61473.328125,62658.765625,62658.765625,1434678
2022-11-10,62574.089844,62574.089844,60626.585938,61642.675781,61642.675781,1792167
2022-11-11,61812.023438,63928.875000,61812.023438,63928.875000,63928.875000,2281219
2022-11-14,63928.875000,64775.613281,62743.437500,63590.179688,63590.179688,2168906
2022-11-15,62997.460938,64690.941406,61049.957031,63505.503906,63505.503906,2364125
2022-11-16,59525.824219,66045.726563,59525.824219,63590.179688,63590.179688,3920683
2022-11-17,64436.917969,64860.289063,63928.875000,64775.613281,64775.613281,2179771
2022-11-18,64267.570313,65114.308594,62320.066406,64775.613281,64775.613281,1848028
2022-11-21,64775.613281,64775.613281,63505.503906,63505.503906,63505.503906,1446606
2022-11-22,63082.132813,64352.242188,61388.652344,62235.394531,62235.394531,2286416
2022-11-23,61812.023438,62235.394531,61303.980469,62235.394531,62235.394531,2093913
2022-11-24,62235.394531,62658.765625,61388.652344,61812.023438,61812.023438,1340435
2022-11-25,61896.699219,62320.066406,61642.675781,61896.699219,61896.699219,2214493
2022-11-28,63082.132813,65198.984375,62489.414063,64944.960938,64944.960938,2783498
2022-11-29,64352.242188,67569.859375,64352.242188,67569.859375,67569.859375,2016439
2022-11-30,67993.226563,68585.945313,65198.984375,68585.945313,68585.945313,1722606
2022-12-01,68501.273438,68924.640625,67061.812500,67739.203125,67739.203125,1392280
2022-12-02,67654.531250,71972.906250,67146.484375,71972.906250,71972.906250,1626591
2022-12-05,71210.835938,73666.382813,69856.054688,71972.906250,71972.906250,1965184
2022-12-06,71972.906250,72142.250000,67739.203125,67739.203125,67739.203125,1627418
2022-12-07,67739.203125,69432.687500,66045.726563,66469.093750,66469.093750,1877553
2022-12-08,66892.460938,68585.945313,65198.984375,65198.984375,65198.984375,2928525
2022-12-09,66384.421875,67061.812500,65283.656250,65453.007813,65453.007813,2066868
2022-12-12,66723.117188,68162.570313,65537.679688,65537.679688,65537.679688,2841131
2022-12-13,66130.398438,67146.484375,65961.046875,66215.070313,66215.070313,2636582
2022-12-14,67485.179688,67485.179688,66469.093750,66723.117188,66723.117188,1471880
2022-12-15,66723.117188,68331.921875,66553.765625,67315.835938,67315.835938,1476722
2022-12-16,67315.835938,70194.750000,66807.789063,67485.179688,67485.179688,4028036
2022-12-19,67739.203125,68585.945313,66892.460938,67061.812500,67061.812500,894607
2022-12-20,67485.179688,69432.687500,66892.460938,66892.460938,66892.460938,1842832
2022-12-21,68924.640625,68924.640625,66638.445313,66638.445313,66638.445313,1136122
2022-12-22,67315.835938,68670.617188,67146.484375,67146.484375,67146.484375,1299454
2022-12-23,67908.554688,68755.289063,66977.140625,66977.140625,66977.140625,1635921
2022-12-26,67061.812500,68416.593750,66807.789063,66807.789063,66807.789063,1421451
2022-12-27,67908.554688,68162.570313,66807.789063,66977.140625,66977.140625,1410114
2022-12-28,68077.898438,69432.687500,67315.835938,67739.203125,67739.203125,1385903
2022-12-29,69686.703125,69856.054688,68162.570313,68331.921875,68331.921875,1621985
2022-12-30,70194.750000,70364.101563,67739.203125,67739.203125,67739.203125,1784372
2023-01-02,null,null,null,null,null,null
2023-01-03,67908.554688,69940.726563,67908.554688,69940.726563,69940.726563,1287053
2023-01-04,70194.750000,70194.750000,69263.335938,70110.078125,70110.078125,1150175
2023-01-05,70110.078125,71126.164063,69856.054688,71126.164063,71126.164063,1273826
2023-01-06,71126.164063,71803.554688,71041.492188,71126.164063,71126.164063,1489831
2023-01-09,72650.296875,73581.710938,71803.554688,73581.710938,73581.710938,1968845
2023-01-10,72988.992188,76121.929688,72988.992188,73920.406250,73920.406250,2596428
2023-01-11,73920.406250,73920.406250,72057.578125,72057.578125,72057.578125,1550653
2023-01-12,72142.250000,72142.250000,70956.812500,71803.554688,71803.554688,2320665
2023-01-13,72142.250000,73243.015625,72142.250000,72650.296875,72650.296875,970782
2023-01-16,72819.640625,74936.492188,72819.640625,73920.406250,73920.406250,1221154
2023-01-17,74936.492188,75698.562500,73920.406250,75698.562500,75698.562500,761272
2023-01-18,76206.601563,77053.343750,75698.562500,76206.601563,76206.601563,1044004
2023-01-19,75783.234375,81287.046875,74089.757813,78746.828125,78746.828125,2098400
2023-01-20,null,null,null,null,null,null
2023-01-23,null,null,null,null,null,null
2023-01-24,null,null,null,null,null,null
2023-01-25,null,null,null,null,null,null
2023-01-26,null,null,null,null,null,null
2023-01-27,78746.828125,80101.609375,77476.710938,78746.828125,78746.828125,1872829
2023-01-30,77984.757813,78323.453125,76037.257813,76121.929688,76121.929688,1234145
2023-01-31,76121.929688,77815.414063,74343.773438,77815.414063,77815.414063,1811299
2023-02-01,77900.085938,78323.453125,75444.539063,75444.539063,75444.539063,1342088
2023-02-02,75021.171875,77900.085938,75021.171875,76714.648438,76714.648438,1217138
2023-02-03,76460.625000,78746.828125,75444.539063,78746.828125,78746.828125,1102345
2023-02-06,78408.125000,81541.070313,77476.710938,81287.046875,81287.046875,1688239
